release_date,title,budget,revenue
2005-09-05,Proof,20.0,7.535331
2005-09-05,Thank You for Smoking,6.5,24.793509
2005-09-05,Kiss Kiss Bang Bang,15.0,15.785148
2005-09-09,The Exorcism of Emily Rose,19.0,144.216468
2005-09-09,Tideland,12.0,0.566611
2005-09-09,An Unfinished Life,30.0,18.618284
2005-09-09,Corpse Bride,40.0,117.195061
2005-09-10,Mozart and the Whale,12.0,0.084967
2005-09-11,Twelve and Holding,0.4,0.095687
2005-09-11,Harsh Times,2.0,5.967038
2005-09-12,Dave Chappelle's Block Party,3.0,11.718595
2005-09-12,The Quiet,0.9,0.38142
2005-09-12,Slow Burn,15.5,1.237615
2005-09-13,Walk the Line,28.0,186.438883
2005-09-16,Pride & Prejudice,28.0,121.147947
2005-09-16,Lord of War,42.0,24.127895
2005-09-16,Cry_Wolf,1.0,10.047674
2005-09-16,"Good Night, and Good Luck.",7.0,54.6
2005-09-16,Just Like Heaven,58.0,102.854431
2005-09-16,Everything is Illuminated,7.0,2.69793
2005-09-19,9th Company,9.5,24.0
2005-09-22,Flightplan,55.0,223.387299
2005-09-22,Domino,50.0,22.944502
2005-09-23,Oliver Twist,50.0,42.093706
2005-09-23,A History of Violence,32.0,60.740827
2005-09-24,Stay,50.0,8.342132
2005-09-30,Romanzo criminale,0.818418,4.851244
2005-09-30,Capote,7.0,49.08483
2005-09-30,Into the Blue,50.0,44.434439
2005-09-30,The Greatest Game Ever Played,25.0,15.431177
2005-10-05,The Squid and the Whale,1.5,11.098131
2005-10-06,The Proposition,2.0,5.048693
2005-10-06,Elizabethtown,57.0,52.034889
2005-10-07,Waiting...,3.0,18.63769
2005-10-07,Two for the Money,35.0,30.526509
2005-10-14,The Fog,18.0,46.201432
2005-10-20,The Weather Man,20.0,12.482775
2005-10-20,Doom,60.0,55.987321
2005-10-21,Nanny McPhee,25.0,122.489822
2005-10-21,Shopgirl,10.284523,11.588205
2005-10-21,The Work and the Glory II: American Zion,6.5,2.025032
2005-10-22,BloodRayne,25.0,2.40542
2005-10-24,The Legend of Zorro,75.0,142.400065
2005-10-25,The Rocket: The Legend of Rocket Richard,8.0,2.019009
2005-10-26,Match Point,15.0,85.306374
2005-10-28,Saw II,4.0,152.925093
2005-11-04,Jarhead,72.0,96.889998
2005-11-04,Chicken Little,150.0,314.432665
2005-11-05,Harry Potter and the Goblet of Fire,150.0,895.921036
2005-11-06,Zathura: A Space Adventure,65.0,64.321501
2005-11-09,Get Rich or Die Tryin',40.0,46.442528
2005-11-09,Joyeux Noël,22.0,17.709155
2005-11-11,Derailed,22.0,57.479076
2005-11-17,The Three Burials of Melquiades Estrada,15.0,12.036149
2005-11-23,Rent,40.0,31.67062
2005-11-23,"Yours, Mine & Ours",45.0,72.028752
2005-11-23,Syriana,50.0,94.0
2005-11-25,Mrs Palfrey at The Claremont,0.75,1.720953
2005-11-30,Æon Flux,62.0,52.304001
2005-12-02,Keeping Mum,0.169,18.564702
2005-12-06,Memoirs of a Geisha,85.0,162.242962
2005-12-07,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180.0,748.806957
2005-12-14,King Kong,207.0,550.0
2005-12-16,Hoodwinked!,15.0,51.053787
2005-12-21,Fun with Dick and Jane,100.0,202.026112
2005-12-21,Cheaper by the Dozen 2,60.0,129.18183
2005-12-22,Riding Alone for Thousands of Miles,7.5,3.752325
2005-12-22,Munich,70.0,130.358911
2005-12-23,Transamerica,1.0,13.350369
2005-12-23,Rumor Has It...,70.0,88.933562
2005-12-25,The New World,30.0,30.536013
2005-12-25,The Producers,45.0,38.058335
2005-12-30,FC Venus,2.196531,2.411594
2006-01-01,Day Watch,4.2,38.862717
2006-01-06,Running Scared,17.0,9.5
2006-01-12,Underworld: Evolution,50.0,111.340801
2006-01-13,Last Holiday,45.0,38.399961
2006-01-18,Bandidas,35.0,10.496317
2006-01-24,An Inconvenient Truth,1.0,46.243
2006-01-26,Big Momma's House 2,40.0,138.259062
2006-01-26,Rang De Basanti,2.2,11.502151
2006-01-27,Annapolis,26.0,17.496992
2006-01-30,Special,1.0,0.007202
2006-02-03,When a Stranger Calls,15.0,66.966987
2006-02-03,Lights in the Dusk,1.38,1.615018
2006-02-07,Winter Passing,3.5,0.113783
2006-02-09,Snow Cake,12.0,1.381665
2006-02-10,Final Destination 3,25.0,117.719158
2006-02-10,Firewall,45.0,82.8
2006-02-10,Curious George,50.0,69.834815
2006-02-11,The Science of Sleep,6.0,9.52434
2006-02-17,Date Movie,20.0,48.548426
2006-02-17,Eight Below,40.0,120.455994
2006-02-17,Freedomland,37.665,14.655628
2006-02-19,10th & Wolf,8.0,0.143451
2006-02-22,Journey from the Fall,1.3,0.639
2006-02-24,Lucky Number Slevin,27.0,56.308881
2006-02-24,Madea's Family Reunion,6.0,57.231524
2006-02-25,Zyzzyx Road,2.0,3e-05
2006-03-01,16 Blocks,55.0,65.664721
2006-03-03,Kidulthood,0.994,0.165
2006-03-03,Ultraviolet,30.0,31.070211
2006-03-03,Aquamarine,12.0,23.006849
2006-03-04,American Dreamz,17.0,7.314027
2006-03-06,The Wild,80.0,37.384046
2006-03-09,The Shaggy Dog,50.0,61.112916
2006-03-10,The Hills Have Eyes,15.0,69.623713
2006-03-10,Failure to Launch,50.0,128.406887
2006-03-15,The Lives of Others,2.0,70.0
2006-03-15,V for Vendetta,54.0,132.511035
2006-03-16,Nikitich and The Dragon,4.5,3.468423
2006-03-16,Volver,12.899867,85.582407
2006-03-16,Renaissance,18.0,1.831348
2006-03-16,Find Me Guilty,13.0,2.636637
2006-03-17,Take the Lead,30.0,34.742066
2006-03-17,She's the Man,20.0,33.889159
2006-03-23,Inside Man,45.0,184.376254
2006-03-23,Ice Age: The Meltdown,80.0,660.94078
2006-03-24,Stay Alive,9.0,27.105095
2006-03-29,Basic Instinct 2,70.0,38.629478
2006-03-31,ATL,20.0,21.170563
2006-04-05,The Contract,25.0,5.5492
2006-04-07,Tristan & Isolde,31.0,28.0
2006-04-08,The Treatment,0.9,0.082701
2006-04-13,Scary Movie 4,45.0,178.26262
2006-04-19,The Sentinel,60.0,77.920346
2006-04-21,Silent Hill,50.0,97.607453
2006-04-22,Over the Hedge,80.0,343.397247
2006-04-28,Akeelah and the Bee,8.0,18.948425
2006-04-28,RV,50.0,87.528173
2006-04-28,Alone With Her,1.0,0.010018
2006-04-28,Another Gay Movie,0.5,0.745327
2006-04-28,The TV Set,2.0,0.265198
2006-04-28,United 93,15.0,76.286096
2006-05-03,Mission: Impossible III,150.0,397.850012
2006-05-12,Poseidon,160.0,181.674817
2006-05-12,Just My Luck,28.0,38.159905
2006-05-15,Southland Tales,17.0,0.374743
2006-05-16,"Paris, je t'aime",13.0,4.857367
2006-05-17,The Da Vinci Code,125.0,767.820459
2006-05-19,Bug,4.0,8.05914
2006-05-20,Shortbus,2.0,5.179037
2006-05-24,X-Men: The Last Stand,210.0,459.359555
2006-05-24,Marie Antoinette,40.0,60.47434
2006-05-25,Clerks II,5.0,26.888376
2006-05-25,A Scanner Darkly,8.7,7.659918
2006-05-25,Days of Glory,14.5,22.963701
2006-05-26,Fanaa,5.3,22.175908
2006-05-27,Pan's Labyrinth,19.0,83.258226
2006-06-01,The Break-Up,52.0,204.999686
2006-06-02,The Angrez,0.05,0.3
2006-06-03,The Fast and the Furious: Tokyo Drift,85.0,158.468292
2006-06-06,The Omen,25.0,119.188334
2006-06-07,Conversations with Other Women,0.45,0.973525
2006-06-08,Cars,120.0,461.983149
2006-06-16,The Lake House,40.0,114.830111
2006-06-16,Nacho Libre,32.0,80.197993
2006-06-17,Death Note,20.0,27.7932
2006-06-20,Pirates of the Caribbean: Dead Man's Chest,200.0,1065.659812
2006-06-21,Bamako,2.0,0.111
2006-06-22,Click,82.5,237.681299
2006-06-23,The Wind That Shakes the Barley,6.5,22.889018
2006-06-24,The Foot Fist Way,0.079,0.245
2006-06-27,Hood of Horror,5.0,0.0259
2006-06-28,Superman Returns,270.0,391.081192
2006-06-29,Ten Canoes,2.0,0.3
2006-06-30,The Devil Wears Prada,35.0,326.551094
2006-07-06,Bon Cop Bad Cop,8.0,12.6713
2006-07-14,"You, Me and Dupree",54.0,130.431368
2006-07-21,Lady in the Water,75.0,42.285169
2006-07-21,Stormbreaker,40.0,23.93787
2006-07-21,Monster House,75.0,140.175006
2006-07-26,Little Miss Sunshine,8.0,100.523181
2006-07-27,John Tucker Must Die,18.0,41.009669
2006-07-27,The Host,11.0,88.489643
2006-07-27,Scoop,4.0,31.584901
2006-07-27,The Ant Bully,50.0,55.181129
2006-07-27,Miami Vice,135.0,163.794509
2006-07-29,Tales from Earthsea,22.0,68.0
2006-08-04,Talladega Nights: The Ballad of Ricky Bobby,72.5,162.966177
2006-08-04,Barnyard,51.0,72.779
2006-08-04,Who Killed the Electric Car?,1.0,1.678874
2006-08-06,Snakes on a Plane,33.0,62.022014
2006-08-09,World Trade Center,63.0,162.945894
2006-08-09,Bommarillu,1.333333,5.333333
2006-08-11,Half Nelson,0.7,4.911725
2006-08-11,Zoom,35.0,12.506188
2006-08-11,Step Up,12.0,114.194847
2006-08-11,Kabhi Alvida Naa Kehna,7.4,17.0
2006-08-11,Waltzing Anna,1.0,0.011455
2006-08-11,Pulse,38.0,29.907685
2006-08-18,Accepted,23.0,38.505009
2006-08-18,The Illusionist,40.0,86.915017
2006-08-24,No Mercy for the Rude,3e-06,4e-06
2006-08-25,Beerfest,17.5,19.179969
2006-08-30,Fur: An Imaginary Portrait of Diane Arbus,16.8,2.281089
2006-08-31,Crank,12.0,42.931041
2006-08-31,Little Man,64.0,101.595121
2006-09-01,Alatriste,24.0,23.321954
2006-09-01,Idiocracy,30.0,0.495303
2006-09-01,Crossover,5.8,7.0
2006-09-01,Black Book,21.0,26.193068
2006-09-01,The Last King of Scotland,6.0,48.02797
2006-09-01,The Wicker Man,40.0,38.755073
2006-09-02,The Namesake,12.0,20.138836
2006-09-06,The Fountain,35.0,15.30489
2006-09-07,Friends with Money,6.5,13.368437
2006-09-07,Fido,8.0,0.426224
2006-09-07,DOA: Dead or Alive,21.0,0.480314
2006-09-08,Sherrybaby,2.0,0.622806
2006-09-08,The Covenant,20.0,37.597471
2006-09-08,Babel,25.0,135.330182
2006-09-09,Rescue Dawn,10.0,7.177143
2006-09-09,A Good Year,35.0,42.064105
2006-09-09,Stranger Than Fiction,30.0,53.653224
2006-09-10,All the King's Men,55.0,9.450897
2006-09-12,This Is England,2.38,8.176544
2006-09-13,Starter for 10,8e-06,2.1e-05
2006-09-13,Perfume: The Story of a Murderer,50.0,132.180323
2006-09-13,Seraphim Falls,18.0,1.196307
2006-09-14,Happily N'Ever After,47.0,38.085778
2006-09-15,Gridiron Gang,30.0,41.480851
2006-09-15,The Black Dahlia,50.0,49.111202
2006-09-15,The Queen,15.0,123.384128
2006-09-19,Local Color,3.25,0.032788
2006-09-22,Jackass Number Two,11.0,72.778712
2006-09-22,Flyboys,60.0,17.8
2006-09-22,Children of Men,76.0,69.959751
2006-09-28,The Guardian,70.0,55.011732
2006-09-29,School for Scoundrels,20.0,17.807569
2006-09-29,Facing the Giants,0.1,10.178331
2006-09-29,Open Season,85.0,197.309027
2006-10-02,The History Boys,4.0,13.401952
2006-10-05,The Departed,90.0,289.847354
2006-10-06,Little Children,26.0,14.821658
2006-10-06,Employee of the Month,12.0,38.368909
2006-10-06,Trailer Park Boys: The Movie,5.0,3.833507
2006-10-09,Man of the Year,20.0,41.237648
2006-10-12,Mechenosets,5.0,3.919731
2006-10-13,One Night with the King,20.0,13.391174
2006-10-13,The Marine,20.0,22.165608
2006-10-13,The Grudge 2,20.0,39.143839
2006-10-14,The Hoax,25.0,11.772461
2006-10-15,The Astronaut Farmer,13.0,11.130889
2006-10-18,Flags of Our Fathers,90.0,65.900249
2006-10-19,The Prestige,40.0,109.676311
2006-10-20,Catch and Release,25.0,16.158487
2006-10-20,Flicka,15.0,21.0
2006-10-20,Night at the Museum,110.0,574.480841
2006-10-20,Varalaru,0.5,0.5
2006-10-22,Flushed Away,149.0,64.459316
2006-10-27,Death of a President,2.0,0.167
2006-10-27,Saw III,10.0,163.876815
2006-10-27,Running with Scissors,12.0,6.754898
2006-11-01,The Santa Clause 3: The Escape Clause,12.0,84.500122
2006-11-01,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18.0,261.572744
2006-11-03,Unknown,3.7,3.338228
2006-11-08,Goya's Ghosts,50.0,9.448082
2006-11-10,The Return,15.0,11.992014
2006-11-14,Casino Royale,150.0,599.04596
2006-11-16,Happy Feet,100.0,384.335608
2006-11-16,Infamous,13.0,1.15133
2006-11-17,Let's Go to Prison,4.0,4.630045
2006-11-22,Déjà Vu,75.0,180.55755
2006-11-22,For Your Consideration,12.0,5.542025
2006-11-22,The Work and the Glory III: A House Divided,6.5,1.325092
2006-11-22,Tenacious D in The Pick of Destiny,22.0,13.405595
2006-11-23,Savages,0.8,1.328612
2006-11-24,Dhoom 2,11.0,46.396427
2006-12-03,Miss Potter,30.0,35.078241
2006-12-07,Apocalypto,40.0,120.17529
2006-12-07,Blood Diamond,100.0,170.877916
2006-12-08,The Good German,32.0,5.914908
2006-12-08,Black Snake Moan,15.0,10.903846
2006-12-08,The Holiday,85.0,194.1687
2006-12-09,Smokin' Aces,17.0,57.103895
2006-12-09,300,65.0,422.610419
2006-12-11,The Good Shepherd,85.0,59.908565
2006-12-12,We Are Marshall,65.0,43.545364
2006-12-13,Arthur and the Invisibles,86.0,107.944236
2006-12-14,The Pursuit of Happyness,55.0,307.077295
2006-12-14,Eragon,100.0,249.288105
2006-12-14,Happy Family,0.8,0.966214
2006-12-15,Charlotte's Web,85.0,144.0
2006-12-19,Letters from Iwo Jima,19.0,68.673228
2006-12-20,Rocky Balboa,24.0,155.721132
2006-12-25,Notes on a Scandal,15.0,49.469904
2006-12-25,Dreamgirls,70.0,154.93768
2006-12-25,Black Christmas,9.0,21.510851
2006-12-26,It's a Boy Girl Thing,15.5,7.385434
2007-01-01,A Mighty Heart,16.0,18.928871
2007-01-01,Redacted,5.0,0.782102
2007-01-05,Freedom Writers,21.0,41.170784
2007-01-05,Code Name: The Cleaner,20.0,10.337477
2007-01-11,Pathfinder,45.0,30.822861
2007-01-12,Guru,4.7,31.0
2007-01-19,The Hitcher,10.0,25.399945
2007-01-22,Son of Rambow,4.0,6.870249
2007-01-25,Epic Movie,20.0,86.865564
2007-01-25,The Good Night,15.0,0.02038
2007-01-31,Boy Culture,0.5,0.220151
2007-02-02,The Messengers,16.0,1.10966
2007-02-06,Hannibal Rising,50.0,82.169884
2007-02-08,Norbit,60.0,95.673607
2007-02-08,Premonition,20.0,84.146832
2007-02-08,The Tracey Fragments,0.7,0.031576
2007-02-08,Dragon Wars: D-War,70.0,53.587404
2007-02-09,You Kill Me,4.0,2.426851
2007-02-09,Death at a Funeral,9.0,4.6e-05
2007-02-09,Itty Bitty Titty Committee,1.0,0.018479
2007-02-09,Music and Lyrics,40.0,145.896422
2007-02-14,Daddy's Little Girls,10.0,31.609243
2007-02-14,Hot Fuzz,12.0,80.573774
2007-02-14,88 Minutes,30.0,16.930884
2007-02-16,Bridge to Terabithia,60.0,137.587063
2007-02-16,Hallam Foe,8.0,0.060641
2007-02-16,Ghost Rider,110.0,228.738393
2007-02-22,The Signal,0.05,0.249905
2007-02-23,The Number 23,30.0,77.566815
2007-02-23,Reno 911!: Miami,10.0,20.342161
2007-03-02,Zodiac,65.0,84.785914
2007-03-02,Becoming Jane,16.5,37.311672
2007-03-09,Captivity,17.0,2.6268
2007-03-09,The Lookout,16.0,5.36703
2007-03-12,Quiet City,0.0025,0.015425
2007-03-16,Dead Silence,20.0,22.217407
2007-03-16,I Think I Love My Wife,11.0,13.196245
2007-03-22,Mr. Bean's Holiday,25.0,229.736344
2007-03-22,Shooter,61.0,95.696996
2007-03-23,Once,0.16,20.710513
2007-03-23,Meet the Robinsons,150.0,169.332978
2007-03-23,Reign Over Me,20.0,22.222308
2007-03-23,TMNT,34.0,95.608995
2007-04-05,Sunshine,50.0,32.017803
2007-04-05,The Reaping,40.0,62.771059
2007-04-10,[REC],1.5,30.448
2007-04-12,Perfect Stranger,60.795,73.090611
2007-04-12,Disturbia,20.0,117.760134
2007-04-16,In the Land of Women,10.0,17.5
2007-04-19,The Last Legion,67.0,25.303038
2007-04-19,I'm Staying,1.0,0.404785
2007-04-20,My Brother Is an Only Child,5.0,6.463286
2007-04-20,Vacancy,19.0,35.300645
2007-04-22,Earth,15.0,109.0
2007-04-24,Next,70.0,76.066841
2007-04-26,28 Weeks Later,15.0,64.23844
2007-04-27,The Invisible,30.0,26.810113
2007-04-28,Nobel Son,4.0,0.333912
2007-04-30,Brooklyn Rules,8.0,0.458232
2007-04-30,Taxi to the Dark Side,1.0,0.274661
2007-05-01,Spider-Man 3,258.0,890.871626
2007-05-06,Night Of The Living Dead 3D,3.0,1.449945
2007-05-11,I Could Never Be Your Woman,24.0,9.576495
2007-05-16,Stomp the Yard,13.0,75.511123
2007-05-16,My Blueberry Nights,10.0,21.786738
2007-05-17,Shrek the Third,160.0,798.958165
2007-05-18,Sicko,9.0,24.538513
2007-05-19,U2 3D,15.0,22.730842
2007-05-19,Pirates of the Caribbean: At World's End,300.0,961.0
2007-05-21,Death Proof,25.0,25.037897
2007-05-22,The Diving Bell and the Butterfly,14.0,19.777647
2007-05-23,Go Go Tales,4.0,0.907456
2007-05-25,We Own the Night,21.0,54.926886
2007-05-25,Waitress,2.0,22.17943
2007-05-25,Shootout at Lokhandwala,11.0,12.0
2007-06-01,Gracie,9.0,2.955039
2007-06-01,Knocked Up,30.0,219.076518
2007-06-01,Mr. Brooks,20.0,41.637263
2007-06-06,12,4.0,7.537453
2007-06-07,Ocean's Thirteen,85.0,311.312624
2007-06-08,Hostel: Part II,10.2,35.619521
2007-06-08,Surf's Up,85.0,149.044513
2007-06-09,Evan Almighty,175.0,173.0
2007-06-13,Fantastic 4: Rise of the Silver Surfer,130.0,289.047763
2007-06-14,Sivaji: The Boss,12.0,19.0
2007-06-20,Live Free or Die Hard,110.0,383.531464
2007-06-22,Ratatouille,150.0,623.722818
2007-06-27,Transformers,150.0,709.70978
2007-06-28,Harry Potter and the Order of the Phoenix,150.0,938.212738
2007-07-04,License to Wed,35.0,69.307224
2007-07-12,I Now Pronounce You Chuck & Larry,85.0,186.072214
2007-07-12,1408,25.0,94.679598
2007-07-13,Hairspray,50.0,90.450008
2007-07-23,The Death and Life of Bobby Z,22.0,0.413454
2007-07-25,No Reservations,28.0,92.60105
2007-07-25,The Simpsons Movie,75.0,527.068851
2007-07-26,Shoot 'Em Up,39.0,26.820641
2007-07-27,I Know Who Killed Me,12.0,9.620399
2007-07-27,No End in Sight,2.0,1.431623
2007-08-03,The Bourne Ultimatum,70.0,442.824138
2007-08-08,Daddy Day Camp,6.0,18.197398
2007-08-08,Rush Hour 3,140.0,258.022233
2007-08-09,Stardust,70.0,135.560026
2007-08-17,The Invasion,80.0,15.071514
2007-08-17,Superbad,20.0,121.463226
2007-08-22,The Kingdom,70.0,86.658558
2007-08-23,Gloss,2.5,4.684165
2007-08-24,War,25.0,40.452643
2007-08-24,Fishtales,14.0,0.009216
2007-08-24,Eye of the Dolphin,2.5,0.071904
2007-08-24,The Nanny Diaries,20.0,47.738099
2007-08-24,"4 Months, 3 Weeks and 2 Days",0.85251,1.185783
2007-08-29,Atonement,30.0,129.266061
2007-08-31,Death Sentence,20.0,16.974459
2007-08-31,Halloween,15.0,80.253908
2007-08-31,In the Valley of Elah,23.0,29.54179
2007-08-31,To Rob a Thief,4.002313,6e-06
2007-09-01,Flawless,20.0,6.819587
2007-09-02,The Assassination of Jesse James by the Coward Robert Ford,30.0,14.711793
2007-09-06,Battle for Terra,4.0,6.101046
2007-09-06,3:10 to Yuma,55.0,70.01622
2007-09-06,Antidur,5.0,1.413
2007-09-06,"Run, Fatboy, Run",10.0,33.0
2007-09-06,The Mother of Tears,3.5,0.054947
2007-09-07,Rendition,27.5,24.74867
2007-09-07,Meet Bill,5.0,0.346592
2007-09-07,Battle in Seattle,8.0,0.908847
2007-09-08,Diary of the Dead,2.0,5.364858
2007-09-09,Elizabeth: The Golden Age,55.0,74.237563
2007-09-11,The House of Usher,0.13,0.001677
2007-09-11,Into the Wild,15.0,56.255142
2007-09-13,Death Defying Acts,20.0,8.380329
2007-09-14,Paranormal Activity,0.015,193.3558
2007-09-14,Eastern Promises,51.5,55.112356
2007-09-14,The Brave One,70.0,69.766619
2007-09-14,The Matriarch,1.4,0.435
2007-09-15,Sukiyaki Western Django,3.8,2.725258
2007-09-20,Resident Evil: Extinction,45.0,148.412065
2007-09-20,December Boys,4.0,0.046474
2007-09-20,Timecrimes,2.6,0.553198
2007-09-20,Mongol: The Rise of Genghis Khan,18.0,26.52751
2007-09-21,Sydney White,16.5,13.620075
2007-09-21,Good Luck Chuck,25.0,59.192128
2007-09-21,Katyn,5.2,14.723313
2007-09-26,Before the Devil Knows You're Dead,18.0,25.005257
2007-09-26,Things We Lost in the Fire,16.0,2.849142
2007-09-27,The Edge of Heaven,3.8,17.804565
2007-09-28,The Game Plan,22.0,147.880543
2007-09-28,Happy Days,0.440141,2.64085
2007-09-28,Michael Clayton,25.0,92.991835
2007-09-29,The Darjeeling Limited,16.0,24.377151
2007-10-01,I'm Not There.,20.0,4.001121
2007-10-01,My Name Is Bruce,1.5,0.173066
2007-10-04,Love in the Time of Cholera,45.0,4.607608
2007-10-05,The Heartbreak Kid,60.0,127.76665
2007-10-09,Assembly,16.0,34.78696
2007-10-12,Lars and the Real Girl,12.0,11.293663
2007-10-12,Why Did I Get Married?,15.0,55.184721
2007-10-14,The Kite Runner,20.0,73.276047
2007-10-17,30 Days of Night,30.0,75.505973
2007-10-18,Boj S Tenyu 2: Revansh,6.0,11.1719
2007-10-19,Gone Baby Gone,19.0,34.619699
2007-10-20,Funny Games,15.0,7.938872
2007-10-22,Lions for Lambs,35.0,63.215872
2007-10-25,Saw IV,10.0,139.352633
2007-10-26,Jab We Met,2.3,4.6
2007-10-26,Dan in Real Life,25.0,68.377859
2007-10-28,Bee Movie,150.0,287.594577
2007-10-29,Королёв,6.0,0.031
2007-11-02,American Gangster,100.0,266.465037
2007-11-03,Fred Claus,100.0,97.838349
2007-11-05,Beowulf,70.0,195.735876
2007-11-07,Om Shanti Om,9.1,37.707444
2007-11-08,No Country for Old Men,25.0,171.6
2007-11-09,P2,8.0,7.76624
2007-11-15,P.S. I Love You,30.0,156.835339
2007-11-16,How About You...,9.0,0.706
2007-11-20,Enchanted,85.0,340.487652
2007-11-21,Hitman,24.0,99.965753
2007-11-21,August Rush,25.0,66.122026
2007-11-21,The Mist,18.0,57.09619
2007-11-27,Whisper,12.0,5.285197
2007-11-28,Awake,86.0,14.373825
2007-12-04,The Golden Compass,180.0,372.234864
2007-12-05,Juno,7.5,231.411584
2007-12-13,National Treasure: Book of Secrets,130.0,457.363168
2007-12-13,Alvin and the Chipmunks,60.0,361.366633
2007-12-14,I Am Legend,150.0,585.34901
2007-12-17,Virgin Territory,38.0,5.410749
2007-12-19,Charlie Wilson's War,75.0,119.00041
2007-12-20,Sweeney Todd: The Demon Barber of Fleet Street,50.0,152.0
2007-12-21,Walk Hard: The Dewey Cox Story,35.0,18.317151
2007-12-21,The Irony of Fate. The Sequel,5.0,55.635037
2007-12-21,Taare Zameen Par,2.6,28.43
2007-12-25,Aliens vs Predator: Requiem,40.0,41.797066
2007-12-25,The Bucket List,45.0,175.372502
2007-12-25,The Water Horse,40.0,103.071443
2007-12-27,The Great Debaters,15.0,30.226144
2007-12-28,There Will Be Blood,25.0,77.208711
2008-01-01,Singh Is Kinng,14.0,25.0
2008-01-01,Wild Child,20.0,21.972336
2008-01-09,Welcome to the Sticks,11.0,53.191886
2008-01-10,27 Dresses,30.0,160.259319
2008-01-13,Asterix at the Olympic Games,97.2504,132.9
2008-01-15,Cloverfield,25.0,170.764026
2008-01-17,Assassination of a High School President,11.5,0.069564
2008-01-18,Transsiberian,15.0,5.92641
2008-01-18,Sunshine Cleaning,5.0,16.174377
2008-01-19,Paris,19.0,23.55
2008-01-22,Untraceable,35.0,32.48341
2008-01-24,Rambo,50.0,113.24429
2008-01-24,Meet the Spartans,30.0,84.646831
2008-01-26,Let the Right One In,4.0,10.785801
2008-01-30,"Moscow, Belgium",0.56,1.5
2008-01-30,Changeling,55.0,113.020255
2008-02-01,Vantage Point,40.0,151.161491
2008-02-01,The Eye,12.0,56.309766
2008-02-03,Role Models,28.0,92.380927
2008-02-07,Kung Fu Dunk,10.0,22.896728
2008-02-07,Fool's Gold,70.0,111.231041
2008-02-08,Welcome Home Roscoe Jenkins,35.0,43.650785
2008-02-08,In Bruges,15.0,34.533783
2008-02-08,Surveillance,3.5,1.115493
2008-02-09,Julia,6.0,1.3
2008-02-10,Jumper,85.0,222.231186
2008-02-14,The Spiderwick Chronicles,90.0,162.839667
2008-02-14,Step Up 2: The Streets,23.0,150.8167
2008-02-15,Jodhaa Akbar,8.3768,13.0
2008-02-18,Taken,25.0,226.830568
2008-02-22,"10,000 BC",105.0,266.0
2008-02-22,Recep İvedik,0.5,5.33
2008-02-26,Justice League: The New Frontier,3.5,5.231128
2008-02-28,The Bank Job,20.0,64.822796
2008-03-03,Horton Hears a Who!,85.0,297.138014
2008-03-04,Never Back Down,20.0,41.627431
2008-03-07,The Amazing Truth About Queen Raquela,0.4,0.005255
2008-03-11,Stargate: The Ark of Truth,7.0,8.9
2008-03-11,The Wave,7.5,19.0
2008-03-14,Doomsday,30.0,22.211426
2008-03-24,Leatherheads,58.0,41.299492
2008-03-27,Superhero Movie,35.0,25.871834
2008-03-27,21,35.0,69.823199
2008-03-28,A Whole Life Ahead,5.94,4.25
2008-03-28,Stop-Loss,25.0,11.20713
2008-03-29,The Red Baron,18.0,0.040239
2008-04-03,Nim's Island,37.0,100.076342
2008-04-10,Street Kings,20.0,65.569869
2008-04-11,Smart People,7.0,10.569964
2008-04-17,Forgetting Sarah Marshall,30.0,105.173115
2008-04-18,The Forbidden Kingdom,55.0,127.906624
2008-04-18,Expelled: No Intelligence Allowed,3.5,7.7
2008-04-23,Baby Mama,30.0,63.833449
2008-04-24,Deception,25.0,17.741298
2008-04-24,Outlander,50.0,7.033683
2008-04-25,Harold & Kumar Escape from Guantanamo Bay,12.0,43.493123
2008-04-28,"War, Inc.",5.0,1.296184
2008-04-30,Iron Man,140.0,585.174222
2008-05-02,Made of Honor,40.0,84.601681
2008-05-07,What Happens in Vegas,35.0,170.0
2008-05-07,The Boy in the Striped Pyjamas,12.5,20.416563
2008-05-09,Speed Racer,120.0,93.945766
2008-05-12,Sex and the City,65.0,415.252786
2008-05-12,Slumdog Millionaire,15.0,377.910544
2008-05-14,Blindness,25.0,19.844979
2008-05-15,The Chronicles of Narnia: Prince Caspian,225.0,419.651413
2008-05-19,The End of Poverty?,1.0,5.7e-05
2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,185.0,786.636033
2008-05-23,Il Divo,7.275,11.260366
2008-05-29,The Strangers,9.0,82.391145
2008-06-04,Kung Fu Panda,130.0,631.74456
2008-06-04,JCVD,6.0,0.276891
2008-06-05,You Don't Mess with the Zohan,90.0,201.596308
2008-06-06,Admiral,2.0,38.135878
2008-06-11,The Happening,60.0,163.403799
2008-06-12,The Incredible Hulk,150.0,163.712074
2008-06-19,Get Smart,80.0,230.685453
2008-06-19,Wanted,75.0,258.270008
2008-06-20,The Love Guru,62.0,41.819064
2008-06-22,WALL·E,180.0,521.31186
2008-06-25,Waltz with Bashir,2.0,11.125849
2008-07-01,The Mummy: Tomb of the Dragon Emperor,145.0,401.128639
2008-07-01,Hancock,150.0,624.029371
